JobID,Job Title,Company,Recruiter,Industry,SalaryMin,SalaryMax,SalaryPeriod,ContractType,ContractLength (Months),Location,Remote,Office Days,PostedOn,Link
1,Data Analyst,Formula Recruitment,TRUE,E-Commerce,50000,60000,Annual,Permanent,,London,Hybrid,2,Feb-25,https://www.linkedin.com/jobs/view/4138915701/
2,Data Analyst,Henderson Scott,TRUE,,,35000,Annual,,,Birmingham ,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4102961924/
3,Data Analyst,Intellect Group,FALSE,HR,50000,65000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4091845633/
4,Data Analyst,Mane Contract Services,TRUE,,20.18,26.61,Hourly,Contract,,Woking,No,,Jan-25,https://www.linkedin.com/jobs/view/4121347750/
5,Data Analyst,Netwrix Corporation,FALSE,,50000,120000,Annual,,,,Yes,,Dec-24,https://www.linkedin.com/jobs/view/4058441140/
6,Data Analyst,Opus Recruitment Solutions,TRUE,Finance,35000,40000,Annual,,,London,No,,Dec-24,https://www.linkedin.com/jobs/view/4105412866/
7,Data Analyst,Opus Recruitment Solutions,TRUE,,50000,60000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4088718767/
8,Data Analyst,Premier Group,TRUE,Sales,35000,40000,Annual,,,Woking,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4147798572/
9,Data Analyst,Premier Group,TRUE,Technology,50000,60000,Annual,,,Winchester,Hybrid,2,Jan-25,https://www.linkedin.com/jobs/view/4132268652/
10,Data Analyst,RED10,TRUE,Finance,,50000,Annual,Permanent,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4075485689/
11,Data Analyst,Robert Walters,TRUE,Conglomerate,30000,40000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4096153840/
12,Data Analyst,Saragossa,TRUE,Finance,,90000,Annual,Permanent,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4090316056/
13,Data Analyst,Simpson Judge,TRUE,Logistics,50000,60000,Annual,Permanent,,,Yes,,Dec-24,https://www.linkedin.com/jobs/view/4074215245/
14,Data Analyst,Spencer Scott,TRUE,Energy,40000,50000,Annual,Permanent,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4103684748/
15,Data Analyst - Subscriptions,Evermore,TRUE,Technology,50000,70000,Annual,Permanent,,London,No,,Dec-24,https://www.linkedin.com/jobs/view/4061889848/
16,Data Analyst,The Graduate Project,TRUE,,28000,31000,Annual,Permanent,,London,No,,Jan-25,https://www.linkedin.com/jobs/view/4113638252/
17,Data Analyst,Understanding Recruitment,TRUE,Energy,60000,70000,Annual,Permanent,,London,Hybrid,2,Dec-24,https://www.linkedin.com/jobs/view/4084770630/
18,Data Analyst,ECW Search,TRUE,Manufacturing,33000,35000,Annual,Permanent,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4103699917/
19,Data Analyst Specialist,Datatech Analytics,TRUE,Consulting,45000,60000,Annual,Permanent,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4102040051/
20,Data Scientist - Analytics – Integrity,Principle,FALSE,Technology,115000,125000,Annual,Contract,12 Months,London,Remote,,Feb-25,https://www.linkedin.com/jobs/view/4145040406/
21,Data Scientist,B&Q,FALSE,,55000,,Annual,,,Southhampton,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4059223049/
22,Lead Data Scientist,GradBay,TRUE,,,90000,Annual,,,Bristol,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4105037016/
23,Data Scientist,Harnham,TRUE,Finance,70000,90000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4085708057/
24,Data Scientist,Sirius Digital Services,FALSE,Technology,40000,,Annual,,,London,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4116545355/
25,Senior Data Scientist,Smart Spaces,FALSE,Technology,75000,90000,Annual,,,London,Hybrid,3,Nov-24,https://www.linkedin.com/jobs/view/4081829787/
26,Data Scientist,Xcede,TRUE,,50000,65000,Annual,,,Surrey,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4119226745/
27,Junior Data Analyst,Intellect Group,TRUE,Consulting,35000,45000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4090804208/
28,Junior Data Analyst,Xpertise Recruitment,TRUE,Finance,,350,Daily,Contract,6 Months,London,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4096529504/
29,Junior Data & Insight Analyst,adam&eveDDB,FALSE,Advertising,,30000,Annual,,,London,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4139331072/
30,Senior Data Analyst ,Amnesty International UK,FALSE,Voluntary,,56700,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4104814432/
31,Senior Data Analyst ,developrec,TRUE,,60000,70000,Annual,,,London,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4130607522/
32,Senior Data Analyst ,FDM Group,TRUE,Finance,60000,70000,Annual,,,London,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4102993085/
33,Senior Data Analyst ,Fruition IT,TRUE,Finance,50000,60000,Annual,,,London,Hybrid,1,Dec-24,https://www.linkedin.com/jobs/view/4088127217/
34,Senior Data Analyst ,Harnham,TRUE,Media,40000,50000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4103362120/
35,Senior Data Analyst ,Hippo,FALSE,Technology,57000,81000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4106737402/
36,Senior Data Analyst ,Maxwell Bond,TRUE,,65000,75000,Annual,,,London,On-site,,Dec-24,https://www.linkedin.com/jobs/view/4084137890/
37,Senior Data Analyst - MMM,Silverdrum,TRUE,Marketing,45000,50000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4106855308/
38,Senior Data Analyst ,Oscar,TRUE,Finance,60000,70000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4087097791/
39,Senior Data Analyst - Customer Data ,Talent Hub,TRUE,,45000,50000,Annual,,,London,Hybrid,2,Dec-24,https://www.linkedin.com/jobs/view/4118718116/
40,Senior Data Analyst ,UK Home Office,FALSE,Government,,48700,Annual,,,Croydon,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4144112446/
41,Senior Data Analyst - Tableau,Harnham,TRUE,,55000,60000,Annual,,,London,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4096163003/
42,Lead Data Analyst,Formula Recruitment,TRUE,Technology,60000,70000,Annual,,,Manchester,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4098054919/
43,Lead Data Analyst,Harnham,TRUE,Technology,55000,60000,Annual,,,United Kingdom,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4096543146/
44,Lead Data Analyst,Michael Page,TRUE,Finance,80000,115000,Annual,,,London,Hybrid,4,Dec-24,https://www.linkedin.com/jobs/view/4096520586/
45,Lead Data Analyst,Scalexperts,TRUE,Technology,70000,80000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4087078446/
46,Lead Data Scientist,Monzo Bank,FALSE,Finance,95000,115000,Annual,,,London,Remote,,Feb-25,https://www.linkedin.com/jobs/view/4068449695/
47,Lead Data Scientist,Practicus,TRUE,Voluntary,49000,58000,Annual,,,United Kingdom,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4083341849/
48,Lead Insight Analyst,Burns Sheehan,TRUE,Retail,85000,105000,Annual,,,London,On-site,,Dec-24,https://www.linkedin.com/jobs/view/4098241834/
49,Lead Machine Learning Scientist,Monzo Bank,FALSE,Finance,110000,140000,Annual,,,London,Remote,,Feb-25,https://www.linkedin.com/jobs/view/3956313564/
50,Lead Price Comparison Analyst,Harnham,TRUE,Finance,60000,65000,Annual,,,United Kingdom,Remote,,Jan-25,https://www.linkedin.com/jobs/view/4102344348/
51,BI Analyst,CPS Group,FALSE,Marketing,35000,45000,Annual,,,Bedforf,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4084813682/
52,Data Analyst,Bodhi,FALSE,Technology,,365.2,Daily,Contract,12 Months,Surrey,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4102584633/
53,BI Insight Lead,Harnham,TRUE,Retail,,50000,Annual,,,Birmingham ,Hybrid,3,Jan-25,https://www.linkedin.com/jobs/view/4102343135/
54,Business Data Analyst,Data Idols,TRUE,,450,550,Daily,Contract,,London,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4103735823/
55,Business Data Analyst,Nobul Resourcing Solutions,TRUE,,45000,55000,Annual,,,United Kingdom,Remote,,Jan-25,https://www.linkedin.com/jobs/view/4104785831/
56,Business Intelligence Analyst,Diamond4Jobs,TRUE,Finance,,45000,Annual,,,Basingstoke,Hybrid,2,Dec-24,https://www.linkedin.com/jobs/view/business-intelligence-analyst-basingstoke-2-days-a-week-at-diamond4jobs-4063741566/
57,Business Intelligence Analyst,The Wodland Trust,FALSE,Voluntary,37000,39000,Annual,,,United Kingdom,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4147651200/
58,Head of Business Intelligence,DiverseJobsMatter,TRUE,,54300,73200,Annual,,,United Kingdom,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4105548057/
59,Business Intelligence Lead,Harnham,TRUE,Healthcare,60000,70000,Annual,,,United Kingdom,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4106227723/
60,Commercial Data Analytics Developer,First Central,FALSE,Technology,35000,42000,Annual,,,United Kingdom,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4104196357/
61,Company Intelligence Analyst,Deltabase,FALSE,Technology,35000,,Annual,,,London,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4122074098/
62,Data and BI Analyst,Harnham,TRUE,Finance,50000,60000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4077447571/
63,Data and Insights Analyst,Measurelab,,,,,,,,,,,,
64,Data and Insights Analyst,Scalexperts,,,,,,,,,,,,
65,Senior Insights Analyst,Scalexperts,,,,,,,,,,,,
66,Senior Insights Analyst,Virgin Money,,,,,,,,,,,,
67,Digital Data Analyst,TLP Consultancy,,,,,,,,,,,,
68,Insights Analyst,Salt,,,,,,,,,,,,
69,Insights Analyst,Scalexperts,,,,,,,,,,,,
70,Performance and Data Analyst,The Pension Regulator,,,,,,,,,,,,
71,Pruncuple Data Analyst,Auto Trader,,,,,,,,,,,,
72,Senior BI Analyst,Cedar,,,,,,,,,,,,
73,Senior Consultant - Insights and Analytics,Curve Analytics,,,,,,,,,,,,
74,Senior Data and Impact Analyst,Helpforce,,,,,,,,,,,,
75,Senior Data Insights Analyst,Pennacle Pet,,,,,,,,,,,,
76,Senior Data Science Manager - EU Expansion,Monzo Bank,,,,,,,,,,,,
77,Senior Data Science Manager - Core,Monzo Bank,,,,,,,,,,,,
78,Senior Data Scientist - Loyalty,Data Idols,,,,,,,,,,,,
79,Senior Decision Scientist,Monzo Bank,,,,,,,,,,,,
80,Senior Provisioning and Forecasting Modeller - Borrowing,Monzo Bank,,,,,,,,,,,,
81,Data Insights Analytics ,Intec Select,,,,,,,,,,,,
82,Data Intelligence and Insights Specialist,Lloyds Banking Group,,,,,,,,,,,,
83,Data Operations Senior Analyst,The Openwork Partnership,,,,,,,,,,,,
84,Data Science Manager - Financial Crime,Monzo Bank,,,,,,,,,,,,
85,Digital Analytics Consultant,Harnham,,,,,,,,,,,,
86,Senior Quantitative Analyst,GSC Quant,,,,,,,,,,,,
87,Senior Quantitative Analyst (Sports),Source Technology,,,,,,,,,,,,
88,Data Architect Engineer Apprenticeship,Ons,,,,,,,,,,,,
89,Strategic Planning Data Analyst,Loughborough University,,,,,,,,,,,,
90,Web Analyst,Harnham,,,,,,,,,,,,
91,Analytics and AI Consultant,Blue Wolf Digital,,,,,,,,,,,,
92,Analytics Consultant,Media Agency,,,,,,,,,,,,
93,Analytics Engineer,Harnham,,,,,,,,,,,,
94,Analytics Engineering Manager,Monzo Bank,,,,,,,,,,,,
95,Customer Data Analyst,Harnham,,,,,,,,,,,,
96,Customer Data Analyst,Salt,,,,,,,,,,,,
97,Customer Data Analyst,Talent Hub,,,,,,,,,,,,
98,Customer Insights Analyst - SaaS,Principle,,,,,,,,,,,,
99,Machine Leaning Manager - Operations,Monzo Bank,,,,,,,,,,,,
100,Hedge Fund Operations and Data Visualisation Analyst,Martis Search,,,,,,,,,,,,
101,Investment Data Analyst,Harnham,,,,,,,,,,,,
102,Quantitative Researcher,Aquatic Capital Management,,,,,,,,,,,,
103,Quantitative Researcher,IntelixAI,,,,,,,,,,,,
104,Quantitative Analyst,Spectrum IT Recruitment,,,,,,,,,,,,
105,Quantitative Analyst,Understanding Recruitment,,,,,,,,,,,,
106,Researcher,Walsh Employment,,,,,,,,,,,,
107,Quantitative Analyst (Sports),Source Technology,,,,,,,,,,,,
108,Quantitative Researcher,Anson McCade,,,,,,,,,,,,
109,Behavioural Insights Lead,Maximus UK,,,,,,,,,,,,
110,Marketing Effectiveness Senior Consultant - Econometrics,,,,,,,,,,,,,
111,Pricing Analyst,The AA,,,,,,,,,,,,
112,Provisioning and Forecasting Modeller - Borrowing,Monzo Bank,,,,,,,,,,,,
113,Product Analyst Data Analyst,RedCar Digital,,,,,,,,,,,,
114,Product Analyst,Burns Sheehan,,,,,,,,,,,,
115,Senior Product Analyst - Data Enrichment,Sarayi,,,,,,,,,,,,
116,Senior Product Data Analyst,Consortia,,,,,,,,,,,,
117,Senior Cancer Data Insights Analyst,Macmillan,,,,,,,,,,,,
